,1. open,2. high,3. low,4. close,5. volume
2024-04-26,174.3700,174.7100,169.6500,171.9500,64665299
2024-04-25,151.3300,156.4900,150.8700,156.0000,57109730
2024-04-24,157.4900,159.5650,157.1650,159.1300,22779112
2024-04-23,156.9600,158.9700,156.2800,158.2600,21151568
2024-04-22,154.3100,157.6400,154.0600,156.2800,26446206
2024-04-19,156.2000,156.3600,152.3000,154.0900,32615639
2024-04-18,155.3400,156.9400,154.6200,156.0100,19883044
2024-04-17,155.6200,157.0800,154.5800,155.4700,21763130
2024-04-16,154.1900,155.6500,153.4300,154.4000,20779495
2024-04-15,158.8600,159.2400,154.5900,154.8600,27136472
2024-04-12,157.9600,160.2225,157.1400,157.7300,25353746
2024-04-11,156.9100,159.6800,156.4600,159.4100,27166431
2024-04-10,156.2100,156.6100,154.6800,156.1400,22838629
2024-04-09,156.0850,158.5600,155.1900,156.6000,30739691
2024-04-08,152.7800,155.2700,152.6100,154.8500,20577435
2024-04-05,150.0300,153.4200,149.6000,152.5000,23328522
2024-04-04,153.5000,154.7700,150.4500,150.5300,34468227
2024-04-03,153.6000,155.0800,152.7300,154.9200,23884801
2024-04-02,153.5000,154.7000,152.1500,154.5600,24491676
2024-04-01,150.6900,155.7400,150.6100,155.4900,31308247
2024-03-28,150.8500,151.4300,150.1700,150.9300,24485390
2024-03-27,151.1800,151.6350,148.9000,150.8700,22879178
2024-03-26,150.2200,152.2560,149.9800,150.6700,22149137
2024-03-25,149.9400,150.3750,147.8200,150.0700,19229285
2024-03-22,149.1200,151.5800,148.9800,150.7700,29211769
2024-03-21,149.4700,150.3700,146.9001,147.6000,24755597
2024-03-20,148.0000,148.8600,146.7350,148.7400,21311501
2024-03-19,148.1600,148.7913,146.0800,147.0300,24070435
2024-03-18,148.6100,152.1500,147.1700,147.6800,69273699
2024-03-15,142.5000,143.1800,140.0300,141.1800,49475417
2024-03-14,141.1900,143.5850,140.4550,143.1000,42570686
2024-03-13,139.0000,141.0900,138.9900,139.7900,23164162
2024-03-12,137.0300,139.3750,137.0300,138.5000,27353587
2024-03-11,136.1300,139.1000,136.1300,137.6700,31677211
2024-03-08,134.2100,138.0850,134.0000,135.4100,39370392
2024-03-07,132.7950,134.9400,131.6100,134.3800,37738209
2024-03-06,133.1200,133.5800,130.8500,131.4000,35318610
2024-03-05,131.8800,133.2400,130.6650,132.6700,40194757
2024-03-04,135.6600,135.6600,131.9100,133.3500,55999415
2024-03-01,138.4300,138.8700,136.9200,137.1400,31151116
2024-02-29,137.2800,138.8600,136.4000,138.4600,42132953
2024-02-28,137.9000,138.0100,135.4100,136.3800,37328558
2024-02-27,138.0200,139.2500,137.0900,138.8800,33099190
2024-02-26,142.1400,142.4400,137.3900,137.5700,53641795
2024-02-23,143.6700,144.6800,143.4300,143.9600,19493752
2024-02-22,144.9300,145.0000,142.8000,144.0900,27191892
2024-02-21,141.4500,142.6900,140.6750,142.5500,23315687
2024-02-20,139.6550,142.0800,139.4900,141.1200,24935710
2024-02-16,142.9900,143.1900,140.1400,140.5200,31468926
2024-02-15,143.1400,143.5200,140.4600,142.7700,37590695
2024-02-14,146.0800,146.5200,144.0940,145.9400,22704166
2024-02-13,144.9200,146.6700,143.6900,145.1400,27837730
2024-02-12,148.4200,149.3350,147.3700,147.5300,21564085
2024-02-09,146.6800,149.4400,146.1800,149.0000,26829504
2024-02-08,145.8300,146.3300,145.1050,145.9100,22563764
2024-02-07,144.7600,145.6150,143.9250,145.5400,25208862
2024-02-06,144.6500,145.3600,143.1900,144.1000,29128201
2024-02-05,142.8200,145.4700,142.7800,143.6800,38505405
2024-02-02,139.2600,142.6200,136.5000,142.3800,62499574
2024-02-01,142.1200,143.0600,140.7900,141.1600,40466549
2024-01-31,143.6200,144.0000,139.8700,140.1000,71910044
2024-01-30,152.8000,153.6200,151.1850,151.4600,36331833
